Date ,Price,Change
16/12/2018,0,0.00%
17/12/2018,0,0.00%
18/12/2018,0,0.00%
19/12/2018,0,0.00%
20/12/2018,0,0.00%
21/12/2018,0,0.00%
22/12/2018,0,0.00%
23/12/2018,0,0.00%
24/12/2018,0,0.00%
25/12/2018,0,0.00%
26/12/2018,0,0.00%
27/12/2018,0,0.00%
28/12/2018,0,0.00%
29/12/2018,0,0.00%
30/12/2018,0,0.00%
31/12/2018,0,0.00%
01/01/2019,0,0.00%
02/01/2019,0,0.00%
03/01/2019,0,0.00%
04/01/2019,0,0.00%
05/01/2019,0,0.00%
06/01/2019,0,0.00%
07/01/2019,0,0.00%
08/01/2019,0,0.00%
09/01/2019,0,0.00%
10/01/2019,0,0.00%
11/01/2019,0,0.00%
12/01/2019,0,0.00%
13/01/2019,0,0.00%
14/01/2019,0,0.00%
15/01/2019,0,0.00%
16/01/2019,0,0.00%
17/01/2019,0,0.00%
18/01/2019,0,0.00%
19/01/2019,0,0.00%
20/01/2019,0,0.00%
21/01/2019,0,0.00%
22/01/2019,0,0.00%
23/01/2019,0,0.00%
24/01/2019,0,0.00%
25/01/2019,0,0.00%
26/01/2019,0,0.00%
27/01/2019,0,0.00%
28/01/2019,0,0.00%
29/01/2019,,
30/01/2019,,
31/01/2019,,
01/02/2019,,
02/02/2019,,
03/02/2019,,
04/02/2019,,
05/02/2019,,
06/02/2019,,
07/02/2019,,
08/02/2019,,
09/02/2019,,
10/02/2019,,
11/02/2019,,
12/02/2019,,
13/02/2019,,
14/02/2019,,
15/02/2019,,
16/02/2019,,
17/02/2019,,
18/02/2019,,
19/02/2019,,
20/02/2019,,
21/02/2019,,
22/02/2019,,
23/02/2019,,
24/02/2019,,
25/02/2019,,
26/02/2019,,
27/02/2019,,
28/02/2019,,
01/03/2019,,
02/03/2019,,
03/03/2019,,
04/03/2019,,
05/03/2019,,
06/03/2019,,
07/03/2019,,
08/03/2019,,
09/03/2019,,
10/03/2019,,
11/03/2019,,
12/03/2019,,
13/03/2019,,
14/03/2019,,
15/03/2019,,
16/03/2019,,
17/03/2019,,
18/03/2019,,
19/03/2019,,
20/03/2019,,
21/03/2019,,
22/03/2019,,
23/03/2019,,
24/03/2019,,
25/03/2019,,
26/03/2019,,
27/03/2019,,
28/03/2019,,
29/03/2019,,
30/03/2019,,
31/03/2019,,
01/04/2019,,
02/04/2019,,
03/04/2019,,
04/04/2019,,
05/04/2019,,
06/04/2019,,
07/04/2019,,
08/04/2019,,
09/04/2019,,
10/04/2019,,
11/04/2019,,
12/04/2019,,
13/04/2019,,
14/04/2019,,
15/04/2019,,
16/04/2019,,
17/04/2019,,
18/04/2019,,
19/04/2019,,
20/04/2019,,
21/04/2019,,
22/04/2019,,
